stocking_date,meal_id,stocked_quantity
6/1/2018,0,76
6/1/2018,1,42
6/1/2018,2,56
6/1/2018,3,74
6/1/2018,4,100
6/1/2018,5,63
6/1/2018,6,49
6/1/2018,7,72
6/1/2018,8,68
6/1/2018,9,78
6/1/2018,10,59
6/1/2018,11,71
6/1/2018,12,72
6/1/2018,13,78
6/1/2018,14,92
6/1/2018,15,85
6/1/2018,16,81
6/1/2018,17,108
6/1/2018,18,87
7/1/2018,0,88
7/1/2018,1,107
7/1/2018,2,85
7/1/2018,3,109
7/1/2018,4,155
7/1/2018,5,120
7/1/2018,6,110
7/1/2018,7,148
7/1/2018,8,151
7/1/2018,9,101
7/1/2018,10,129
7/1/2018,11,116
7/1/2018,12,129
7/1/2018,13,92
7/1/2018,14,119
7/1/2018,15,127
7/1/2018,16,127
7/1/2018,17,105
7/1/2018,18,103
8/1/2018,0,131
8/1/2018,1,177
8/1/2018,2,188
8/1/2018,3,185
8/1/2018,4,207
8/1/2018,5,167
8/1/2018,6,177
8/1/2018,7,189
8/1/2018,8,166
8/1/2018,9,175
8/1/2018,10,175
8/1/2018,11,193
8/1/2018,12,188
8/1/2018,13,177
8/1/2018,14,158
8/1/2018,15,157
8/1/2018,16,176
8/1/2018,17,206
8/1/2018,18,197
9/1/2018,0,268
9/1/2018,1,258
9/1/2018,2,313
9/1/2018,3,270
9/1/2018,4,262
9/1/2018,5,300
9/1/2018,6,298
9/1/2018,7,234
9/1/2018,8,268
9/1/2018,9,263
9/1/2018,10,346
9/1/2018,11,264
9/1/2018,12,275
9/1/2018,13,259
9/1/2018,14,260
9/1/2018,15,260
9/1/2018,16,279
9/1/2018,17,300
9/1/2018,18,258
10/1/2018,0,423
10/1/2018,1,384
10/1/2018,2,370
10/1/2018,3,443
10/1/2018,4,432
10/1/2018,5,403
10/1/2018,6,400
10/1/2018,7,409
10/1/2018,8,426
10/1/2018,9,439
10/1/2018,10,401
10/1/2018,11,447
10/1/2018,12,391
10/1/2018,13,407
10/1/2018,14,392
10/1/2018,15,390
10/1/2018,16,439
10/1/2018,17,432
10/1/2018,18,452
11/1/2018,0,651
11/1/2018,1,712
11/1/2018,2,717
11/1/2018,3,724
11/1/2018,4,704
11/1/2018,5,739
11/1/2018,6,680
11/1/2018,7,666
11/1/2018,8,715
11/1/2018,9,722
11/1/2018,10,653
11/1/2018,11,684
11/1/2018,12,708
11/1/2018,13,725
11/1/2018,14,705
11/1/2018,15,689
11/1/2018,16,693
11/1/2018,17,686
11/1/2018,18,722
12/1/2018,0,1268
12/1/2018,1,1322
12/1/2018,2,1197
12/1/2018,3,1297
12/1/2018,4,1282
12/1/2018,5,1270
12/1/2018,6,1275
12/1/2018,7,1156
12/1/2018,8,1316
12/1/2018,9,1278
12/1/2018,10,1286
12/1/2018,11,1297
12/1/2018,12,1261
12/1/2018,13,1217
12/1/2018,14,1289
12/1/2018,15,1291
12/1/2018,16,1232
12/1/2018,17,1269
12/1/2018,18,1248
